Verbo(nselect:0) 	 	 {record, register}(nselect:1)
{throw}(nselect:4) 	 	 {fling}(nselect:0)
{throw}(nselect:4) 	 	 {lob}(nselect:0)
{throw}(nselect:4) 	 	 {chuck, toss}(nselect:0)
{throw}(nselect:4) 	 	 {skim, skip, skitter}(nselect:0)
{throw}(nselect:4) 	 	 {juggle}(nselect:0)
{throw}(nselect:4) 	 	 {flip, flick}(nselect:0)
{throw}(nselect:4) 	 	 {pass}(nselect:0)
{move, displace}(nselect:0) 	 	 {transfer}(nselect:5)
{transfer}(nselect:5) 	 	 {convey, transmit, communicate}(nselect:1)
{convey, transmit, communicate}(nselect:1) 	 	 {communicate, pass on, pass, pass along, put across}(nselect:1)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {request, bespeak, call for, quest}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {ask}(nselect:4)
{ask}(nselect:4) 	 	 {request}(nselect:0)
{request}(nselect:0) 	 	 {call}(nselect:0)
{request}(nselect:0) 	 	 {invite, bid}(nselect:0)
{invite, bid}(nselect:0) 	 	 {challenge}(nselect:0)
{challenge}(nselect:0) 	 	 {provoke, stimulate}(nselect:0)
{challenge}(nselect:0) 	 	 {counterchallenge}(nselect:0)
{challenge}(nselect:0) 	 	 {question, oppugn, call into question}(nselect:0)
{challenge}(nselect:0) 	 	 {impeach}(nselect:0)
{challenge}(nselect:0) 	 	 {impugn}(nselect:0)
{challenge}(nselect:0) 	 	 {defy, dare}(nselect:0)
{challenge}(nselect:0) 	 	 {call one's bluff}(nselect:0)
{challenge}(nselect:0) 	 	 {call out}(nselect:0)
{challenge}(nselect:0) 	 	 {remit, remand, send back}(nselect:0)
{challenge}(nselect:0) 	 	 {action, sue, litigate, process}(nselect:1)
{action, sue, litigate, process}(nselect:1) 	 	 {expedite}(nselect:0)
{challenge}(nselect:0) 	 	 {litigate}(nselect:0)
{challenge}(nselect:0) 	 	 {appeal}(nselect:1)
{request}(nselect:0) 	 	 {propose, declare oneself, offer, pop the question}(nselect:0)
{request}(nselect:0) 	 	 {order, tell, enjoin, say}(nselect:2)
{order, tell, enjoin, say}(nselect:2) 	 	 {direct}(nselect:0)
{order, tell, enjoin, say}(nselect:2) 	 	 {instruct}(nselect:1)
{instruct}(nselect:1) 	 	 {charge}(nselect:0)
{instruct}(nselect:1) 	 	 {charge}(nselect:0)
{order, tell, enjoin, say}(nselect:2) 	 	 {command, require}(nselect:0)
{command, require}(nselect:0) 	 	 {charge, saddle, burden}(nselect:0)
{command, require}(nselect:0) 	 	 {forbid, prohibit, interdict, proscribe, veto, disallow, nix}(nselect:0)
{command, require}(nselect:0) 	 	 {requisition}(nselect:1)
{order, tell, enjoin, say}(nselect:2) 	 	 {call, send for}(nselect:1)
{call, send for}(nselect:1) 	 	 {summon, summons, cite}(nselect:0)
{call, send for}(nselect:1) 	 	 {beep}(nselect:0)
{call, send for}(nselect:1) 	 	 {recall, call back}(nselect:0)
{call, send for}(nselect:1) 	 	 {call in}(nselect:0)
{call, send for}(nselect:1) 	 	 {lift}(nselect:0)
{call, send for}(nselect:1) 	 	 {muster}(nselect:0)
{call, send for}(nselect:1) 	 	 {hail}(nselect:0)
{call, send for}(nselect:1) 	 	 {summon}(nselect:0)
{call, send for}(nselect:1) 	 	 {call up, mobilize, mobilise, rally}(nselect:0)
{order, tell, enjoin, say}(nselect:2) 	 	 {warn}(nselect:0)
{ask}(nselect:4) 	 	 {solicit}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {order}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {encore}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {petition}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {demand}(nselect:2)
{demand}(nselect:2) 	 	 {want}(nselect:0)
{demand}(nselect:2) 	 	 {ask, require, expect}(nselect:1)
{ask, require, expect}(nselect:1) 	 	 {call}(nselect:0)
{demand}(nselect:2) 	 	 {clamor, clamour}(nselect:0)
{demand}(nselect:2) 	 	 {dun}(nselect:0)
{demand}(nselect:2) 	 	 {ask}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {appeal, invoke}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {supplicate}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {apply}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {solicit, beg, tap}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {reserve}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {challenge}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {excuse, beg off}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {demand}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {claim}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {invite, ask in}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {desire}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {beg}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {claim, lay claim, arrogate}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {invite, ask over, ask round}(nselect:3)
{request, bespeak, call for, quest}(nselect:0) 	 	 {call}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {ask out, invite out, take out}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {reserve, hold, book}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {invite, call for}(nselect:1)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {plant, implant}(nselect:0)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {send a message}(nselect:0)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {relay}(nselect:0)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {get across, put over}(nselect:0)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {acknowledge, receipt}(nselect:0)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {carry}(nselect:0)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {render, deliver, return}(nselect:0)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {message}(nselect:0)
{communicate, pass on, pass, pass along, put across}(nselect:1) 	 	 {message}(nselect:0)
{transfer}(nselect:5) 	 	 {mail, post, send}(nselect:0)
{transfer}(nselect:5) 	 	 {send, get off, send off}(nselect:0)
{transfer}(nselect:5) 	 	 {load}(nselect:0)
{transfer}(nselect:5) 	 	 {offset}(nselect:0)
{transfer}(nselect:5) 	 	 {import}(nselect:0)
{transfer}(nselect:5) 	 	 {export}(nselect:0)
{transfer}(nselect:5) 	 	 {offload}(nselect:0)
{transfer}(nselect:5) 	 	 {post, carry}(nselect:0)
{transfer}(nselect:5) 	 	 {FTP}(nselect:0)
{transfer}(nselect:5) 	 	 {spool}(nselect:0)
{transfer}(nselect:5) 	 	 {download}(nselect:0)
{transfer}(nselect:5) 	 	 {upload}(nselect:0)
{transfer}(nselect:5) 	 	 {commit, institutionalize, institutionalise, send, charge}(nselect:0)
{commit, institutionalize, institutionalise, send, charge}(nselect:0) 	 	 {hospitalize, hospitalise}(nselect:4)
{transfer}(nselect:5) 	 	 {translocate}(nselect:0)
{move, displace}(nselect:0) 	 	 {mobilize, mobilise, circulate}(nselect:0)
{move, displace}(nselect:0) 	 	 {relocate}(nselect:0)
{move, displace}(nselect:0) 	 	 {dislocate, luxate, splay, slip}(nselect:0)
{move, displace}(nselect:0) 	 	 {translate}(nselect:0)
{move, displace}(nselect:0) 	 	 {station, post, send, place}(nselect:0)
{station, post, send, place}(nselect:0) 	 	 {garrison}(nselect:0)
{station, post, send, place}(nselect:0) 	 	 {fort}(nselect:0)
{station, post, send, place}(nselect:0) 	 	 {locate, place, site}(nselect:1)
{move, displace}(nselect:0) 	 	 {agitate, vex, disturb, commove, shake up, stir up, raise up}(nselect:0)
{move, displace}(nselect:0) 	 	 {transmit, transfer, transport, channel, channelize, channelise}(nselect:0)
{transmit, transfer, transport, channel, channelize, channelise}(nselect:0) 	 	 {bring, get, convey, fetch}(nselect:0)
{bring, get, convey, fetch}(nselect:0) 	 	 {retrieve}(nselect:0)
{bring, get, convey, fetch}(nselect:0) 	 	 {retrieve}(nselect:0)
{bring, get, convey, fetch}(nselect:0) 	 	 {deliver}(nselect:1)
{deliver}(nselect:1) 	 	 {misdeliver}(nselect:0)
{deliver}(nselect:1) 	 	 {serve, process, swear out}(nselect:0)
{deliver}(nselect:1) 	 	 {drop, drop off, set down, put down, unload, discharge}(nselect:0)
{deliver}(nselect:1) 	 	 {consign}(nselect:0)
{transmit, transfer, transport, channel, channelize, channelise}(nselect:0) 	 	 {project}(nselect:0)
{transmit, transfer, transport, channel, channelize, channelise}(nselect:0) 	 	 {propagate}(nselect:0)
{transmit, transfer, transport, channel, channelize, channelise}(nselect:0) 	 	 {translate}(nselect:0)
{transmit, transfer, transport, channel, channelize, channelise}(nselect:0) 	 	 {turn, release}(nselect:0)
{transmit, transfer, transport, channel, channelize, channelise}(nselect:0) 	 	 {send, send out}(nselect:1)
{send, send out}(nselect:1) 	 	 {send in}(nselect:0)
{send, send out}(nselect:1) 	 	 {mail out}(nselect:0)
{send, send out}(nselect:1) 	 	 {mail, get off}(nselect:0)
{move, displace}(nselect:0) 	 	 {funnel}(nselect:0)
{move, displace}(nselect:0) 	 	 {brandish, flourish, wave}(nselect:0)
{move, displace}(nselect:0) 	 	 {pull, draw, force}(nselect:0)
{move, displace}(nselect:0) 	 	 {transport, carry}(nselect:1)
{transport, carry}(nselect:1) 	 	 {shoulder}(nselect:0)
{transport, carry}(nselect:1) 	 	 {port}(nselect:0)
{transport, carry}(nselect:1) 	 	 {bear}(nselect:0)
{transport, carry}(nselect:1) 	 	 {bucket}(nselect:0)
{transport, carry}(nselect:1) 	 	 {return}(nselect:0)
{transport, carry}(nselect:1) 	 	 {pipe in}(nselect:0)
{transport, carry}(nselect:1) 	 	 {port}(nselect:0)
{transport, carry}(nselect:1) 	 	 {porter}(nselect:0)
{transport, carry}(nselect:1) 	 	 {pack}(nselect:0)
{transport, carry}(nselect:1) 	 	 {cart}(nselect:0)
{transport, carry}(nselect:1) 	 	 {fly}(nselect:0)
{transport, carry}(nselect:1) 	 	 {haul}(nselect:0)
{transport, carry}(nselect:1) 	 	 {lug, tote, tug}(nselect:0)
{transport, carry}(nselect:1) 	 	 {chariot}(nselect:0)
{transport, carry}(nselect:1) 	 	 {bring, convey, take}(nselect:0)
{move, displace}(nselect:0) 	 	 {tug}(nselect:0)
{move, displace}(nselect:0) 	 	 {disarrange}(nselect:0)
{move, displace}(nselect:0) 	 	 {put, set, place, pose, position, lay}(nselect:4)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {insert, enclose, inclose, stick in, put in, introduce}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {docket}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {cock}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {postpose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {prepose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {step}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {replace, put back}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {stratify}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {plant}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {intersperse}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {nestle, snuggle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {pile}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {arrange, set up}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {regularize, regularise}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {order}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {order}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {straighten}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {rearrange}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {serialize, serialise}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {alphabetize, alphabetise}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {organize, organise, coordinate}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {stratify}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {string, thread, draw}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {marshal}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {string}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {string out, spread out}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {preen, plume}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {stack}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {chain}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {pair, geminate}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {concord}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {cascade}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {pyramid}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {corral}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {catenate, catenulate}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {dress, decorate}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {range, array, lay out, set out}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {pack, bundle, wad, compact}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {stack, pile, heap}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {stagger, distribute}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {drape}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {drape}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {set}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {gradate}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {line up}(nselect:0)
{arrange, set up}(nselect:0) 	 	 {settle}(nselect:3)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {superimpose, superpose, lay over}(nselect:2)
{superimpose, superpose, lay over}(nselect:2) 	 	 {develop}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {superpose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {park}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {ensconce, settle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {dispose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {emplace}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {emplace}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {ship}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {underlay}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {trench}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {pigeonhole}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {shelve}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {jar}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {repose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {sign}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {middle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {parallelize}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {butt}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {recess}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {reposition}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {throw, thrust}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {tee, tee up}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {rack up}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {coffin}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {bed}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {appose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {set down, put down, place down}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {sow, seed}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {misplace}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {juxtapose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {set down}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {bottle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {bucket}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {barrel}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {ground}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {pillow, rest}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {misplace, mislay, lose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {upend}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {seat, sit, sit down}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {seat}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {lay, put down, repose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {stand, stand up, place upright}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {recline}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {plant, set}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {install, instal, put in, set up}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {situate, fix, posit, deposit}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {ladle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {poise}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {lean}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {clap}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {rest}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {perch}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {load}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {cram}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {set}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {siphon}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {seat}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {position}(nselect:0)
{position}(nselect:0) 	 	 {aim, take, train, take aim, direct}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {draw a bead on}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {hold}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {turn}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {swing}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {charge, level, point}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {level}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {sight}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {target, aim, place, direct, point}(nselect:1)
{target, aim, place, direct, point}(nselect:1) 	 	 {address}(nselect:0)
{target, aim, place, direct, point}(nselect:1) 	 	 {range in, home in, zero in}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {glycerolize, glycerolise}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {space}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {marshal}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {settle, settle down}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {throw}(nselect:0)
{put, set, place, pose, position, lay}(nselect:4) 	 	 {imbricate}(nselect:0)
{move, displace}(nselect:0) 	 	 {engage, mesh, lock, operate}(nselect:0)
{move, displace}(nselect:0) 	 	 {launch, set in motion}(nselect:0)
{move, displace}(nselect:0) 	 	 {wind, wrap, roll, twine}(nselect:0)
{move, displace}(nselect:0) 	 	 {unwind, wind off, unroll}(nselect:0)
{move, displace}(nselect:0) 	 	 {wedge, squeeze, force}(nselect:0)
{move, displace}(nselect:0) 	 	 {work}(nselect:0)
{move, displace}(nselect:0) 	 	 {spill, shed, disgorge}(nselect:0)
{move, displace}(nselect:0) 	 	 {spill, slop, splatter}(nselect:0)
{move, displace}(nselect:0) 	 	 {unseat}(nselect:0)
{move, displace}(nselect:0) 	 	 {separate, disunite, divide, part}(nselect:0)
{separate, disunite, divide, part}(nselect:0) 	 	 {cut}(nselect:0)
{cut}(nselect:0) 	 	 {manicure}(nselect:0)
{cut}(nselect:0) 	 	 {scissor}(nselect:0)
{cut}(nselect:0) 	 	 {plane, shave}(nselect:0)
{cut}(nselect:0) 	 	 {slice, slice up}(nselect:0)
{cut}(nselect:0) 	 	 {pink}(nselect:0)
{cut}(nselect:0) 	 	 {jag}(nselect:0)
{cut}(nselect:0) 	 	 {carve, cut up}(nselect:0)
{cut}(nselect:0) 	 	 {carve}(nselect:0)
{cut}(nselect:0) 	 	 {carve, chip at}(nselect:0)
{cut}(nselect:0) 	 	 {cube, dice}(nselect:0)
{cut}(nselect:0) 	 	 {julienne}(nselect:0)
{cut}(nselect:0) 	 	 {chop, hack}(nselect:0)
{cut}(nselect:0) 	 	 {undercut}(nselect:0)
{cut}(nselect:0) 	 	 {hack}(nselect:0)
{cut}(nselect:0) 	 	 {chop, chop up}(nselect:0)
