Verbo(nselect:0) 	 	 {perform, execute, do}(nselect:67)
{kill}(nselect:25) 	 	 {stone, lapidate}(nselect:0)
{kill}(nselect:25) 	 	 {poison}(nselect:0)
{kill}(nselect:25) 	 	 {commit suicide}(nselect:4)
{kill}(nselect:25) 	 	 {dispatch}(nselect:0)
{kill}(nselect:25) 	 	 {zap, vaporize}(nselect:0)
{kill}(nselect:25) 	 	 {sacrifice}(nselect:0)
{kill}(nselect:25) 	 	 {take off}(nselect:0)
{kill}(nselect:25) 	 	 {tomahawk}(nselect:0)
{kill}(nselect:25) 	 	 {destroy, put down}(nselect:0)
{kill}(nselect:25) 	 	 {saber, sabre}(nselect:0)
{kill}(nselect:25) 	 	 {overlie, overlay}(nselect:0)
{kill}(nselect:25) 	 	 {brain}(nselect:0)
{kill}(nselect:25) 	 	 {put away, put to sleep}(nselect:0)
{kill}(nselect:25) 	 	 {neutralize, neutralise, liquidate, waste, knock off, do in}(nselect:0)
{kill}(nselect:25) 	 	 {exterminate, kill off}(nselect:0)
{kill}(nselect:25) 	 	 {smother, asphyxiate, suffocate}(nselect:0)
{kill}(nselect:25) 	 	 {strangle, strangulate, throttle}(nselect:0)
{kill}(nselect:25) 	 	 {decapitate, behead, decollate}(nselect:0)
{kill}(nselect:25) 	 	 {impale, stake}(nselect:0)
{kill}(nselect:25) 	 	 {dismember}(nselect:0)
{kill}(nselect:25) 	 	 {martyr}(nselect:0)
{kill}(nselect:25) 	 	 {shed blood}(nselect:0)
{kill}(nselect:25) 	 	 {murder, slay, hit, dispatch, bump off, off, polish off, remove}(nselect:0)
{kill}(nselect:25) 	 	 {assassinate}(nselect:1)
{kill}(nselect:25) 	 	 {execute, put to death}(nselect:0)
{kill}(nselect:25) 	 	 {draw, quarter, draw and quarter}(nselect:0)
{kill}(nselect:25) 	 	 {lynch}(nselect:0)
{kill}(nselect:25) 	 	 {shoot, pip}(nselect:2)
{shoot, pip}(nselect:2) 	 	 {flight}(nselect:0)
{shoot, pip}(nselect:2) 	 	 {pick off}(nselect:0)
{kill}(nselect:25) 	 	 {electrocute, fry}(nselect:0)
Verbo(nselect:0) 	 	 {contend, fight, struggle}(nselect:2)
{contend, fight, struggle}(nselect:2) 	 	 {bear down}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {fistfight}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {join battle}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {tug}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {fight, oppose, fight back, fight down, defend}(nselect:0)
{fight, oppose, fight back, fight down, defend}(nselect:0) 	 	 {recalcitrate}(nselect:0)
{fight, oppose, fight back, fight down, defend}(nselect:0) 	 	 {resist, stand, fend}(nselect:0)
{fight, oppose, fight back, fight down, defend}(nselect:0) 	 	 {repel, repulse, fight off, rebuff, drive back}(nselect:0)
{fight, oppose, fight back, fight down, defend}(nselect:0) 	 	 {resist, hold out, withstand, stand firm}(nselect:3)
{resist, hold out, withstand, stand firm}(nselect:3) 	 	 {stand out}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:3) 	 	 {stand up}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:3) 	 	 {outbrave}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:3) 	 	 {hold off}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:3) 	 	 {stand, remain firm}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:3) 	 	 {defy, withstand, hold, hold up}(nselect:1)
{defy, withstand, hold, hold up}(nselect:1) 	 	 {weather, endure, brave, brave out}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {settle, get back}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {fight back}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {battle, combat}(nselect:3)
{battle, combat}(nselect:3) 	 	 {dogfight}(nselect:0)
{battle, combat}(nselect:3) 	 	 {wrestle}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {war}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {attack, assail}(nselect:5)
{attack, assail}(nselect:5) 	 	 {submarine}(nselect:0)
{attack, assail}(nselect:5) 	 	 {pepper, pelt}(nselect:0)
{attack, assail}(nselect:5) 	 	 {strike, hit}(nselect:1)
{strike, hit}(nselect:1) 	 	 {slice}(nselect:0)
{strike, hit}(nselect:1) 	 	 {chop}(nselect:0)
{strike, hit}(nselect:1) 	 	 {stroke}(nselect:0)
{strike, hit}(nselect:1) 	 	 {retaliate, strike back}(nselect:0)
{attack, assail}(nselect:5) 	 	 {counterattack, counterstrike}(nselect:0)
{attack, assail}(nselect:5) 	 	 {gas}(nselect:0)
{attack, assail}(nselect:5) 	 	 {storm, surprise}(nselect:0)
{attack, assail}(nselect:5) 	 	 {blitz}(nselect:0)
{attack, assail}(nselect:5) 	 	 {besiege, beleaguer, surround, hem in, circumvent}(nselect:0)
{attack, assail}(nselect:5) 	 	 {bombard, bomb}(nselect:3)
{bombard, bomb}(nselect:3) 	 	 {carpet bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {bomb out}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {dive-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {glide-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {skip-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {atom-bomb, nuke}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {hydrogen-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {pattern-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {nuke, atomize, atomise, zap}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {letter bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {firebomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {blast, shell}(nselect:0)
{attack, assail}(nselect:5) 	 	 {strafe}(nselect:0)
{attack, assail}(nselect:5) 	 	 {cannonade}(nselect:0)
{attack, assail}(nselect:5) 	 	 {torpedo}(nselect:0)
{attack, assail}(nselect:5) 	 	 {raid, bust}(nselect:0)
{attack, assail}(nselect:5) 	 	 {invade, occupy}(nselect:2)
{invade, occupy}(nselect:2) 	 	 {infest, overrun}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {duel}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {joust}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {chicken-fight, chickenfight}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {tourney}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {feud}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {skirmish}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {bandy}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {fence}(nselect:0)
{fence}(nselect:0) 	 	 {parry, block, deflect}(nselect:3)
{contend, fight, struggle}(nselect:2) 	 	 {box}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {spar}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {scuffle, tussle}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {wrestle}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {engage, wage}(nselect:0)
Verbo(nselect:0) 	 	 {make, create}(nselect:7)
{make, create}(nselect:7) 	 	 {beget, get, engender, father, mother, sire, generate, bring forth}(nselect:0)
{make, create}(nselect:7) 	 	 {reproduce, procreate, multiply}(nselect:0)
{make, create}(nselect:7) 	 	 {regenerate}(nselect:0)
{make, create}(nselect:7) 	 	 {clear}(nselect:0)
{make, create}(nselect:7) 	 	 {distill, extract, distil}(nselect:0)
{make, create}(nselect:7) 	 	 {derive, educe}(nselect:0)
{make, create}(nselect:7) 	 	 {froth, spume, suds}(nselect:0)
{make, create}(nselect:7) 	 	 {lay down, establish, make}(nselect:1)
{lay down, establish, make}(nselect:1) 	 	 {set, mark}(nselect:1)
{make, create}(nselect:7) 	 	 {puncture}(nselect:0)
{make, create}(nselect:7) 	 	 {twine}(nselect:0)
{make, create}(nselect:7) 	 	 {cleave}(nselect:0)
{make, create}(nselect:7) 	 	 {track}(nselect:0)
{make, create}(nselect:7) 	 	 {institute, bring}(nselect:0)
{make, create}(nselect:7) 	 	 {short-circuit, short}(nselect:0)
{make, create}(nselect:7) 	 	 {re-create}(nselect:0)
{re-create}(nselect:0) 	 	 {regenerate, renew}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {replace}(nselect:2)
{replace}(nselect:2) 	 	 {change, exchange, commute, convert}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {rectify}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {utilize}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {capitalize, capitalise}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {break}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {launder}(nselect:1)
{replace}(nselect:2) 	 	 {change}(nselect:0)
{replace}(nselect:2) 	 	 {novate}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {refurbish, renovate, freshen up}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {revamp}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {retread, remold, remould}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {renovate, restitute}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {refresh, freshen}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {revitalize, revitalise}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {regenerate, restore, rejuvenate}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {overhaul, modernize, modernise}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {restore, reconstruct}(nselect:3)
{restore, reconstruct}(nselect:3) 	 	 {decompress, uncompress}(nselect:0)
{restore, reconstruct}(nselect:3) 	 	 {rehabilitate}(nselect:0)
{restore, reconstruct}(nselect:3) 	 	 {rehabilitate}(nselect:0)
{restore, reconstruct}(nselect:3) 	 	 {defibrillate}(nselect:0)
{restore, reconstruct}(nselect:3) 	 	 {reinstate}(nselect:0)
{re-create}(nselect:0) 	 	 {represent, interpret}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {sensualize, carnalize}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {silhouette}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {animalize, animalise}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {profile}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {paint}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {capture}(nselect:1)
{capture}(nselect:1) 	 	 {recapture}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {picture, depict, render, show}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {stylize, stylise, conventionalize}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {map}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {portray, depict, limn}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {draw}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {model, mock up}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {graph, chart}(nselect:0)
{represent, interpret}(nselect:0) 	 	 {portray, present}(nselect:1)
{portray, present}(nselect:1) 	 	 {commend}(nselect:0)
{re-create}(nselect:0) 	 	 {regenerate}(nselect:0)
{re-create}(nselect:0) 	 	 {fictionalize, fictionalise, retell}(nselect:0)
{re-create}(nselect:0) 	 	 {forge, fake, counterfeit}(nselect:0)
{re-create}(nselect:0) 	 	 {recite, retell}(nselect:0)
{re-create}(nselect:0) 	 	 {perform}(nselect:0)
{re-create}(nselect:0) 	 	 {act, play, represent}(nselect:0)
{re-create}(nselect:0) 	 	 {reenact}(nselect:0)
{re-create}(nselect:0) 	 	 {model, simulate}(nselect:0)
{re-create}(nselect:0) 	 	 {play, spiel}(nselect:0)
{re-create}(nselect:0) 	 	 {stage, present, represent}(nselect:1)
{stage, present, represent}(nselect:1) 	 	 {set, localize, localise, place}(nselect:0)
{make, create}(nselect:7) 	 	 {grind}(nselect:0)
{make, create}(nselect:7) 	 	 {generate, bring forth}(nselect:5)
{generate, bring forth}(nselect:5) 	 	 {come up}(nselect:0)
{generate, bring forth}(nselect:5) 	 	 {develop}(nselect:0)
{generate, bring forth}(nselect:5) 	 	 {induce, bring on}(nselect:0)
{generate, bring forth}(nselect:5) 	 	 {release, free, liberate}(nselect:0)
{make, create}(nselect:7) 	 	 {originate, initiate, start}(nselect:2)
{originate, initiate, start}(nselect:2) 	 	 {lead up, initiate}(nselect:0)
{originate, initiate, start}(nselect:2) 	 	 {set}(nselect:0)
{originate, initiate, start}(nselect:2) 	 	 {go back, date back, date from}(nselect:0)
{make, create}(nselect:7) 	 	 {give, yield}(nselect:1)
{make, create}(nselect:7) 	 	 {bring, work, play, wreak, make for}(nselect:0)
{make, create}(nselect:7) 	 	 {raise, conjure, conjure up, invoke, evoke, stir, call down, arouse, bring up, put forward, call forth}(nselect:0)
{make, create}(nselect:7) 	 	 {create by mental act, create mentally}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {draw, make}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {re-create}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {give birth}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {schematize}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {invent, contrive, devise, excogitate, formulate, forge}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {gestate, conceive, conceptualize, conceptualise}(nselect:0)
{gestate, conceive, conceptualize, conceptualise}(nselect:0) 	 	 {design}(nselect:0)
{gestate, conceive, conceptualize, conceptualise}(nselect:0) 	 	 {preconceive}(nselect:0)
{gestate, conceive, conceptualize, conceptualise}(nselect:0) 	 	 {discover, find}(nselect:1)
{create by mental act, create mentally}(nselect:0) 	 	 {think up, think of, dream up, hatch, concoct}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {imagine, conceive of, ideate, envisage}(nselect:1)
{imagine, conceive of, ideate, envisage}(nselect:1) 	 	 {visualize, visualise, envision, project, fancy, see, figure, picture, image}(nselect:0)
{imagine, conceive of, ideate, envisage}(nselect:1) 	 	 {visualize, visualise}(nselect:0)
{imagine, conceive of, ideate, envisage}(nselect:1) 	 	 {envision, foresee}(nselect:0)
{imagine, conceive of, ideate, envisage}(nselect:1) 	 	 {fantasize, fantasise}(nselect:0)
{imagine, conceive of, ideate, envisage}(nselect:1) 	 	 {prefigure}(nselect:0)
{imagine, conceive of, ideate, envisage}(nselect:1) 	 	 {think}(nselect:0)
{imagine, conceive of, ideate, envisage}(nselect:1) 	 	 {fantasy, fantasize, fantasise}(nselect:0)
{imagine, conceive of, ideate, envisage}(nselect:1) 	 	 {dream, daydream, woolgather, stargaze}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {design, plan}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {write}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {evolve, germinate, develop}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {program, programme}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {construct}(nselect:2)
{create by mental act, create mentally}(nselect:0) 	 	 {construct}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {plan, project, contrive, design}(nselect:1)
{plan, project, contrive, design}(nselect:1) 	 	 {plot}(nselect:0)
{plan, project, contrive, design}(nselect:1) 	 	 {concert}(nselect:0)
{plan, project, contrive, design}(nselect:1) 	 	 {map, map out}(nselect:0)
{make, create}(nselect:7) 	 	 {create, make}(nselect:0)
{make, create}(nselect:7) 	 	 {realize, realise, actualize, actualise, substantiate}(nselect:0)
{make, create}(nselect:7) 	 	 {establish, give}(nselect:0)
{make, create}(nselect:7) 	 	 {put on, turn in}(nselect:0)
{make, create}(nselect:7) 	 	 {bear, turn out}(nselect:0)
{make, create}(nselect:7) 	 	 {create from raw material, create from raw stuff}(nselect:0)
{create from raw material, create from raw stuff}(nselect:0) 	 	 {make}(nselect:0)
{make}(nselect:0) 	 	 {compose, compile}(nselect:0)
{make}(nselect:0) 	 	 {compile}(nselect:0)
{make}(nselect:0) 	 	 {fashion, forge}(nselect:0)
{make}(nselect:0) 	 	 {cooper}(nselect:0)
{make}(nselect:0) 	 	 {manufacture, fabricate, construct}(nselect:1)
{manufacture, fabricate, construct}(nselect:1) 	 	 {mass-produce}(nselect:0)
{manufacture, fabricate, construct}(nselect:1) 	 	 {raft}(nselect:0)
{make, create}(nselect:7) 	 	 {construct, build, make}(nselect:2)
{construct, build, make}(nselect:2) 	 	 {customize, customise}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {revet}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {dry-wall}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {lock}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {wattle}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {frame, frame up}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {rebuild, reconstruct}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {groin}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {cantilever}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {raise, erect, rear, set up, put up}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {corduroy}(nselect:0)
{construct, build, make}(nselect:2) 	 	 {channelize, channelise}(nselect:0)
{make, create}(nselect:7) 	 	 {build, establish}(nselect:2)
{make, create}(nselect:7) 	 	 {assemble, piece, put together, set up, tack, tack together}(nselect:0)
{assemble, piece, put together, set up, tack, tack together}(nselect:0) 	 	 {confect, confection, comfit}(nselect:0)
{assemble, piece, put together, set up, tack, tack together}(nselect:0) 	 	 {jumble, confuse, mix up}(nselect:0)
{assemble, piece, put together, set up, tack, tack together}(nselect:0) 	 	 {reassemble}(nselect:0)
{assemble, piece, put together, set up, tack, tack together}(nselect:0) 	 	 {compound}(nselect:0)
{assemble, piece, put together, set up, tack, tack together}(nselect:0) 	 	 {rig up}(nselect:0)
{assemble, piece, put together, set up, tack, tack together}(nselect:0) 	 	 {configure}(nselect:1)
{make, create}(nselect:7) 	 	 {style}(nselect:0)
{make, create}(nselect:7) 	 	 {strike}(nselect:0)
{make, create}(nselect:7) 	 	 {copy, re-create}(nselect:0)
{make, create}(nselect:7) 	 	 {create verbally}(nselect:0)
{make, create}(nselect:7) 	 	 {compose, write}(nselect:0)
{make, create}(nselect:7) 	 	 {choreograph}(nselect:0)
{make, create}(nselect:7) 	 	 {direct}(nselect:0)
{make, create}(nselect:7) 	 	 {film}(nselect:1)
{film}(nselect:1) 	 	 {cinematize, cinematise}(nselect:0)
{film}(nselect:1) 	 	 {microfilm}(nselect:0)
{make, create}(nselect:7) 	 	 {film-make}(nselect:0)
{make, create}(nselect:7) 	 	 {recreate}(nselect:0)
{make, create}(nselect:7) 	 	 {offset}(nselect:0)
{make, create}(nselect:7) 	 	 {scrape}(nselect:0)
{make, create}(nselect:7) 	 	 {produce, bring forth}(nselect:1)
{produce, bring forth}(nselect:1) 	 	 {give birth, deliver, bear, birth, have}(nselect:0)
{produce, bring forth}(nselect:1) 	 	 {sporulate}(nselect:0)
{produce, bring forth}(nselect:1) 	 	 {grind out, crank out}(nselect:0)
{produce, bring forth}(nselect:1) 	 	 {manufacture}(nselect:0)
{make, create}(nselect:7) 	 	 {produce, bring about, give rise}(nselect:0)
{produce, bring about, give rise}(nselect:0) 	 	 {leave, result, lead}(nselect:19)
{leave, result, lead}(nselect:19) 	 	 {lead}(nselect:2)
{lead}(nselect:2) 	 	 {necessitate}(nselect:0)
{necessitate}(nselect:0) 	 	 {entail, imply, mean}(nselect:2)
{lead}(nselect:2) 	 	 {entail, implicate}(nselect:0)
{produce, bring about, give rise}(nselect:0) 	 	 {induce, induct}(nselect:0)
{make, create}(nselect:7) 	 	 {press}(nselect:0)
{make, create}(nselect:7) 	 	 {prepare}(nselect:1)
{prepare}(nselect:1) 	 	 {rough in, rough, rough out}(nselect:0)
{make, create}(nselect:7) 	 	 {cut}(nselect:0)
{make, create}(nselect:7) 	 	 {cut}(nselect:0)
{make, create}(nselect:7) 	 	 {raise}(nselect:0)
{make, create}(nselect:7) 	 	 {beat}(nselect:0)
{make, create}(nselect:7) 	 	 {chop}(nselect:0)
{make, create}(nselect:7) 	 	 {manufacture}(nselect:0)
{make, create}(nselect:7) 	 	 {blast, shell}(nselect:0)
{make, create}(nselect:7) 	 	 {arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {strike a chord, touch a chord}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {invite, ask for}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {draw}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {rekindle}(nselect:1)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {infatuate}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {inflame, stir up, wake, ignite, heat, fire up}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {stimulate, shake, shake up, excite, stir}(nselect:0)
{stimulate, shake, shake up, excite, stir}(nselect:0) 	 	 {fuel}(nselect:0)
{stimulate, shake, shake up, excite, stir}(nselect:0) 	 	 {arouse, sex, excite, turn on, wind up}(nselect:0)
{stimulate, shake, shake up, excite, stir}(nselect:0) 	 	 {thrill, tickle, vibrate}(nselect:0)
{stimulate, shake, shake up, excite, stir}(nselect:0) 	 	 {tempt, invite}(nselect:0)
{stimulate, shake, shake up, excite, stir}(nselect:0) 	 	 {elate, lift up, uplift, pick up, intoxicate}(nselect:0)
{stimulate, shake, shake up, excite, stir}(nselect:0) 	 	 {inspire, animate, invigorate, enliven, exalt}(nselect:2)
{inspire, animate, invigorate, enliven, exalt}(nselect:2) 	 	 {encourage}(nselect:0)
{stimulate, shake, shake up, excite, stir}(nselect:0) 	 	 {titillate}(nselect:0)
{stimulate, shake, shake up, excite, stir}(nselect:0) 	 	 {frighten, fright, scare, affright}(nselect:1)
{frighten, fright, scare, affright}(nselect:1) 	 	 {bluff}(nselect:0)
{frighten, fright, scare, affright}(nselect:1) 	 	 {awe}(nselect:0)
{frighten, fright, scare, affright}(nselect:1) 	 	 {terrify, terrorize, terrorise}(nselect:0)
{frighten, fright, scare, affright}(nselect:1) 	 	 {intimidate}(nselect:0)
{frighten, fright, scare, affright}(nselect:1) 	 	 {dismay, alarm, appal, appall, horrify}(nselect:0)
{frighten, fright, scare, affright}(nselect:1) 	 	 {consternate}(nselect:0)
{frighten, fright, scare, affright}(nselect:1) 	 	 {spook}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {excite}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {anger}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {upset, discompose, untune, disconcert, discomfit}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {shame}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {hurt, wound, injure, bruise, offend, spite}(nselect:1)
{hurt, wound, injure, bruise, offend, spite}(nselect:1) 	 	 {diss, insult, affront}(nselect:0)
{hurt, wound, injure, bruise, offend, spite}(nselect:1) 	 	 {lacerate}(nselect:0)
{hurt, wound, injure, bruise, offend, spite}(nselect:1) 	 	 {sting}(nselect:0)
{hurt, wound, injure, bruise, offend, spite}(nselect:1) 	 	 {humiliate, mortify, chagrin, humble, abase}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {overwhelm, overpower, sweep over, whelm, overcome, overtake}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {interest}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {prick}(nselect:2)
{make, create}(nselect:7) 	 	 {incorporate}(nselect:0)
{make, create}(nselect:7) 	 	 {form, organize, organise}(nselect:3)
{form, organize, organise}(nselect:3) 	 	 {reorganize, reorganise, regroup}(nselect:0)
{form, organize, organise}(nselect:3) 	 	 {choose up}(nselect:0)
{form, organize, organise}(nselect:3) 	 	 {draw up}(nselect:0)
{form, organize, organise}(nselect:3) 	 	 {regiment}(nselect:0)
{form, organize, organise}(nselect:3) 	 	 {syndicate}(nselect:0)
{make, create}(nselect:7) 	 	 {cause, do, make}(nselect:28)
{cause, do, make}(nselect:28) 	 	 {determine, shape, mold, influence, regulate}(nselect:0)
{cause, do, make}(nselect:28) 	 	 {initiate, pioneer}(nselect:0)
{initiate, pioneer}(nselect:0) 	 	 {establish, found, plant, constitute, institute}(nselect:0)
{establish, found, plant, constitute, institute}(nselect:0) 	 	 {fix}(nselect:0)
{establish, found, plant, constitute, institute}(nselect:0) 	 	 {appoint, name, nominate, constitute}(nselect:1)
{appoint, name, nominate, constitute}(nselect:1) 	 	 {pack}(nselect:0)
{appoint, name, nominate, constitute}(nselect:1) 	 	 {co-opt}(nselect:0)
{initiate, pioneer}(nselect:0) 	 	 {strike up}(nselect:0)
