Verbo(nselect:0) 	 	 {perform, execute, do}(nselect:5)
{make, create}(nselect:0) 	 	 {beget, get, engender, father, mother, sire, generate, bring forth}(nselect:0)
{make, create}(nselect:0) 	 	 {reproduce, procreate, multiply}(nselect:0)
{make, create}(nselect:0) 	 	 {regenerate}(nselect:0)
{make, create}(nselect:0) 	 	 {clear}(nselect:0)
{make, create}(nselect:0) 	 	 {distill, extract, distil}(nselect:0)
{make, create}(nselect:0) 	 	 {derive, educe}(nselect:0)
{make, create}(nselect:0) 	 	 {froth, spume, suds}(nselect:0)
{make, create}(nselect:0) 	 	 {lay down, establish, make}(nselect:0)
{make, create}(nselect:0) 	 	 {puncture}(nselect:0)
{make, create}(nselect:0) 	 	 {twine}(nselect:0)
{make, create}(nselect:0) 	 	 {cleave}(nselect:0)
{make, create}(nselect:0) 	 	 {track}(nselect:0)
{make, create}(nselect:0) 	 	 {institute, bring}(nselect:0)
{make, create}(nselect:0) 	 	 {short-circuit, short}(nselect:0)
{make, create}(nselect:0) 	 	 {re-create}(nselect:0)
{re-create}(nselect:0) 	 	 {regenerate, renew}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {replace}(nselect:0)
{replace}(nselect:0) 	 	 {change, exchange, commute, convert}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {rectify}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {utilize}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {capitalize, capitalise}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {break}(nselect:0)
{change, exchange, commute, convert}(nselect:0) 	 	 {launder}(nselect:1)
{regenerate, renew}(nselect:0) 	 	 {refurbish, renovate, freshen up}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {revamp}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {retread, remold, remould}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {renovate, restitute}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {refresh, freshen}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {revitalize, revitalise}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {regenerate, restore, rejuvenate}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {overhaul, modernize, modernise}(nselect:0)
{regenerate, renew}(nselect:0) 	 	 {restore, reconstruct}(nselect:2)
{restore, reconstruct}(nselect:2) 	 	 {decompress, uncompress}(nselect:0)
{restore, reconstruct}(nselect:2) 	 	 {rehabilitate}(nselect:0)
{restore, reconstruct}(nselect:2) 	 	 {rehabilitate}(nselect:0)
{restore, reconstruct}(nselect:2) 	 	 {defibrillate}(nselect:0)
{restore, reconstruct}(nselect:2) 	 	 {reinstate}(nselect:0)
{make, create}(nselect:0) 	 	 {grind}(nselect:0)
{make, create}(nselect:0) 	 	 {generate, bring forth}(nselect:1)
{generate, bring forth}(nselect:1) 	 	 {come up}(nselect:0)
{generate, bring forth}(nselect:1) 	 	 {develop}(nselect:0)
{generate, bring forth}(nselect:1) 	 	 {induce, bring on}(nselect:0)
{generate, bring forth}(nselect:1) 	 	 {release, free, liberate}(nselect:0)
{make, create}(nselect:0) 	 	 {originate, initiate, start}(nselect:1)
{originate, initiate, start}(nselect:1) 	 	 {lead up, initiate}(nselect:0)
{originate, initiate, start}(nselect:1) 	 	 {set}(nselect:0)
{originate, initiate, start}(nselect:1) 	 	 {go back, date back, date from}(nselect:0)
{make, create}(nselect:0) 	 	 {give, yield}(nselect:0)
{make, create}(nselect:0) 	 	 {bring, work, play, wreak, make for}(nselect:0)
{make, create}(nselect:0) 	 	 {raise, conjure, conjure up, invoke, evoke, stir, call down, arouse, bring up, put forward, call forth}(nselect:0)
{make, create}(nselect:0) 	 	 {create by mental act, create mentally}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {draw, make}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {re-create}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {give birth}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {schematize}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {invent, contrive, devise, excogitate, formulate, forge}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {gestate, conceive, conceptualize, conceptualise}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {think up, think of, dream up, hatch, concoct}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {imagine, conceive of, ideate, envisage}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {design, plan}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {write}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {evolve, germinate, develop}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {program, programme}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {construct}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {construct}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {plan, project, contrive, design}(nselect:1)
{plan, project, contrive, design}(nselect:1) 	 	 {plot}(nselect:0)
{plan, project, contrive, design}(nselect:1) 	 	 {concert}(nselect:0)
{plan, project, contrive, design}(nselect:1) 	 	 {map, map out}(nselect:0)
{make, create}(nselect:0) 	 	 {create, make}(nselect:0)
{make, create}(nselect:0) 	 	 {realize, realise, actualize, actualise, substantiate}(nselect:0)
{make, create}(nselect:0) 	 	 {establish, give}(nselect:0)
{make, create}(nselect:0) 	 	 {put on, turn in}(nselect:0)
{make, create}(nselect:0) 	 	 {bear, turn out}(nselect:0)
{make, create}(nselect:0) 	 	 {create from raw material, create from raw stuff}(nselect:0)
{create from raw material, create from raw stuff}(nselect:0) 	 	 {make}(nselect:0)
{make}(nselect:0) 	 	 {compose, compile}(nselect:0)
{make}(nselect:0) 	 	 {compile}(nselect:0)
{make}(nselect:0) 	 	 {fashion, forge}(nselect:0)
{make}(nselect:0) 	 	 {cooper}(nselect:0)
{make}(nselect:0) 	 	 {manufacture, fabricate, construct}(nselect:1)
{manufacture, fabricate, construct}(nselect:1) 	 	 {mass-produce}(nselect:0)
{manufacture, fabricate, construct}(nselect:1) 	 	 {raft}(nselect:0)
{make, create}(nselect:0) 	 	 {construct, build, make}(nselect:0)
{make, create}(nselect:0) 	 	 {build, establish}(nselect:0)
{make, create}(nselect:0) 	 	 {assemble, piece, put together, set up, tack, tack together}(nselect:0)
{make, create}(nselect:0) 	 	 {style}(nselect:0)
{make, create}(nselect:0) 	 	 {strike}(nselect:0)
{make, create}(nselect:0) 	 	 {copy, re-create}(nselect:0)
{make, create}(nselect:0) 	 	 {create verbally}(nselect:0)
{make, create}(nselect:0) 	 	 {compose, write}(nselect:0)
{make, create}(nselect:0) 	 	 {choreograph}(nselect:0)
{make, create}(nselect:0) 	 	 {direct}(nselect:0)
{make, create}(nselect:0) 	 	 {film}(nselect:0)
{make, create}(nselect:0) 	 	 {film-make}(nselect:0)
{make, create}(nselect:0) 	 	 {recreate}(nselect:0)
{make, create}(nselect:0) 	 	 {offset}(nselect:0)
{make, create}(nselect:0) 	 	 {scrape}(nselect:0)
{make, create}(nselect:0) 	 	 {produce, bring forth}(nselect:1)
{produce, bring forth}(nselect:1) 	 	 {give birth, deliver, bear, birth, have}(nselect:0)
{produce, bring forth}(nselect:1) 	 	 {sporulate}(nselect:0)
{produce, bring forth}(nselect:1) 	 	 {grind out, crank out}(nselect:0)
{produce, bring forth}(nselect:1) 	 	 {manufacture}(nselect:0)
{make, create}(nselect:0) 	 	 {produce, bring about, give rise}(nselect:0)
{produce, bring about, give rise}(nselect:0) 	 	 {leave, result, lead}(nselect:15)
{leave, result, lead}(nselect:15) 	 	 {lead}(nselect:1)
{lead}(nselect:1) 	 	 {necessitate}(nselect:0)
{necessitate}(nselect:0) 	 	 {entail, imply, mean}(nselect:1)
{lead}(nselect:1) 	 	 {entail, implicate}(nselect:0)
{produce, bring about, give rise}(nselect:0) 	 	 {induce, induct}(nselect:0)
{make, create}(nselect:0) 	 	 {press}(nselect:0)
{make, create}(nselect:0) 	 	 {prepare}(nselect:0)
{make, create}(nselect:0) 	 	 {cut}(nselect:0)
{make, create}(nselect:0) 	 	 {cut}(nselect:0)
{make, create}(nselect:0) 	 	 {raise}(nselect:0)
{make, create}(nselect:0) 	 	 {beat}(nselect:0)
{make, create}(nselect:0) 	 	 {chop}(nselect:0)
{make, create}(nselect:0) 	 	 {manufacture}(nselect:0)
{make, create}(nselect:0) 	 	 {blast, shell}(nselect:0)
{make, create}(nselect:0) 	 	 {arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {strike a chord, touch a chord}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {invite, ask for}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {draw}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {rekindle}(nselect:1)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {infatuate}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {prick}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {inflame, stir up, wake, ignite, heat, fire up}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {stimulate, shake, shake up, excite, stir}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {excite}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {anger}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {upset, discompose, untune, disconcert, discomfit}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {shame}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {overwhelm, overpower, sweep over, whelm, overcome, overtake}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {interest}(nselect:0)
{arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0) 	 	 {hurt, wound, injure, bruise, offend, spite}(nselect:1)
{hurt, wound, injure, bruise, offend, spite}(nselect:1) 	 	 {diss, insult, affront}(nselect:0)
{hurt, wound, injure, bruise, offend, spite}(nselect:1) 	 	 {lacerate}(nselect:0)
{hurt, wound, injure, bruise, offend, spite}(nselect:1) 	 	 {sting}(nselect:0)
{hurt, wound, injure, bruise, offend, spite}(nselect:1) 	 	 {humiliate, mortify, chagrin, humble, abase}(nselect:0)
{make, create}(nselect:0) 	 	 {incorporate}(nselect:0)
{make, create}(nselect:0) 	 	 {form, organize, organise}(nselect:0)
{make, create}(nselect:0) 	 	 {cause, do, make}(nselect:21)
{cause, do, make}(nselect:21) 	 	 {determine, shape, mold, influence, regulate}(nselect:0)
{cause, do, make}(nselect:21) 	 	 {initiate, pioneer}(nselect:0)
{cause, do, make}(nselect:21) 	 	 {effect, effectuate, set up}(nselect:0)
{effect, effectuate, set up}(nselect:0) 	 	 {carry through, accomplish, execute, carry out, action, fulfill, fulfil}(nselect:0)
{effect, effectuate, set up}(nselect:0) 	 	 {draw, get}(nselect:0)
{effect, effectuate, set up}(nselect:0) 	 	 {precipitate}(nselect:0)
{effect, effectuate, set up}(nselect:0) 	 	 {induce, stimulate, rush, hasten}(nselect:0)
{effect, effectuate, set up}(nselect:0) 	 	 {serve}(nselect:1)
{serve}(nselect:1) 	 	 {help, facilitate}(nselect:0)
{cause, do, make}(nselect:21) 	 	 {make}(nselect:0)
{cause, do, make}(nselect:21) 	 	 {occasion}(nselect:0)
{cause, do, make}(nselect:21) 	 	 {provoke, evoke, call forth, kick up}(nselect:6)
{provoke, evoke, call forth, kick up}(nselect:6) 	 	 {pick}(nselect:0)
{cause, do, make}(nselect:21) 	 	 {engender, breed, spawn}(nselect:0)
{cause, do, make}(nselect:21) 	 	 {motivate, actuate, propel, move, prompt, incite}(nselect:0)
{cause, do, make}(nselect:21) 	 	 {impel, force}(nselect:1)
{cause, do, make}(nselect:21) 	 	 {facilitate}(nselect:0)
Verbo(nselect:0) 	 	 {induce, stimulate, cause, have, get, make}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {decide}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {persuade}(nselect:0)
{persuade}(nselect:0) 	 	 {hustle}(nselect:0)
{persuade}(nselect:0) 	 	 {bring round, bring around}(nselect:0)
{persuade}(nselect:0) 	 	 {badger}(nselect:0)
{persuade}(nselect:0) 	 	 {sell}(nselect:0)
{persuade}(nselect:0) 	 	 {chat up}(nselect:0)
{persuade}(nselect:0) 	 	 {talk into}(nselect:0)
{persuade}(nselect:0) 	 	 {rope in}(nselect:0)
{persuade}(nselect:0) 	 	 {wheedle, cajole, palaver, blarney, coax, sweet-talk, inveigle}(nselect:0)
{persuade}(nselect:0) 	 	 {brainwash}(nselect:0)
{persuade}(nselect:0) 	 	 {assure}(nselect:0)
{persuade}(nselect:0) 	 	 {charm, influence, tempt}(nselect:0)
{persuade}(nselect:0) 	 	 {prevail}(nselect:0)
{persuade}(nselect:0) 	 	 {drag}(nselect:0)
{persuade}(nselect:0) 	 	 {tempt}(nselect:0)
{persuade}(nselect:0) 	 	 {seduce, score, make}(nselect:0)
{persuade}(nselect:0) 	 	 {convert, win over, convince}(nselect:1)
{convert, win over, convince}(nselect:1) 	 	 {disarm}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {bring}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {solicit}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {encourage}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {lead}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {prompt, inspire, instigate}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {suborn}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {compel, oblige, obligate}(nselect:2)
{compel, oblige, obligate}(nselect:2) 	 	 {force, thrust}(nselect:0)
{compel, oblige, obligate}(nselect:2) 	 	 {walk}(nselect:0)
{compel, oblige, obligate}(nselect:2) 	 	 {coerce, hale, squeeze, pressure, force}(nselect:0)
{compel, oblige, obligate}(nselect:2) 	 	 {clamor}(nselect:0)
{compel, oblige, obligate}(nselect:2) 	 	 {condemn}(nselect:0)
{compel, oblige, obligate}(nselect:2) 	 	 {shame}(nselect:0)
{compel, oblige, obligate}(nselect:2) 	 	 {enforce, implement, apply}(nselect:0)
{compel, oblige, obligate}(nselect:2) 	 	 {enforce, impose}(nselect:0)
{induce, stimulate, cause, have, get, make}(nselect:0) 	 	 {let}(nselect:2)
Verbo(nselect:0) 	 	 {destroy, ruin}(nselect:5)
{destroy, ruin}(nselect:5) 	 	 {burn, fire, burn down}(nselect:2)
{burn, fire, burn down}(nselect:2) 	 	 {backfire}(nselect:0)
{burn, fire, burn down}(nselect:2) 	 	 {cremate}(nselect:0)
{burn, fire, burn down}(nselect:2) 	 	 {torch}(nselect:0)
{burn, fire, burn down}(nselect:2) 	 	 {scorch}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {lay waste to, waste, devastate, desolate, ravage, scourge}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {harry, ravage}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {break}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {break, bust}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {vandalize, vandalise}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {do a job on}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {subvert}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {get}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {devour}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {rape, spoil, despoil, violate, plunder}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {explode}(nselect:2)
{destroy, ruin}(nselect:5) 	 	 {consume}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {shipwreck}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {bust up, wreck, wrack}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {kick in, kick down}(nselect:0)
{destroy, ruin}(nselect:5) 	 	 {wash out}(nselect:0)
Verbo(nselect:0) 	 	 {act, move}(nselect:1)
{act, move}(nselect:1) 	 	 {interact}(nselect:0)
{interact}(nselect:0) 	 	 {communicate, intercommunicate}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {grimace, make a face, pull a face}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {yak, gab}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {fingerspell, finger-spell}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {aphorize, aphorise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {riddle}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {project}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {reach, get through, get hold of, contact}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {inflict, bring down, visit, impose}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {commune}(nselect:0)
{commune}(nselect:0) 	 	 {pray}(nselect:1)
{communicate, intercommunicate}(nselect:0) 	 	 {ask, inquire, enquire}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {telecommunicate}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {joke, jest}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {blog}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {greet}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {address, turn to}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {nod}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {sign}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {talk, speak, utter, mouth, verbalize, verbalise}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {talk of, talk about}(nselect:0)
{talk of, talk about}(nselect:0) 	 	 {hash out, discuss, talk over}(nselect:0)
{hash out, discuss, talk over}(nselect:0) 	 	 {negociate, negotiate, talk terms}(nselect:0)
{hash out, discuss, talk over}(nselect:0) 	 	 {negociate}(nselect:0)
{hash out, discuss, talk over}(nselect:0) 	 	 {powwow}(nselect:0)
{hash out, discuss, talk over}(nselect:0) 	 	 {debate, deliberate}(nselect:1)
{debate, deliberate}(nselect:1) 	 	 {vex}(nselect:0)
