root(nselect:0) 	 	 Verbo(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {octet, octette, eightsome}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {assembly}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {crowd}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {multitude, throng, concourse}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {audience}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {community}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {municipality}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {cast, cast of characters, dramatis personae}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {class, form, grade, course}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {class, year}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {social gathering, social affair}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {crowd, crew, gang, bunch}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {meeting, group meeting}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {covey}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {quorum}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {rally, mass meeting}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {commune}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {convocation}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {fair}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {bevy}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {cortege, retinue, suite, entourage}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {camp}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {muster}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {rap group}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {rave-up}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {table}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {wine tasting}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {quartet, quartette, foursome}(nselect:5)
{quartet, quartette, foursome}(nselect:5) 	 	 {quadrumvirate}(nselect:0)
{abstraction, abstract entity}(nselect:0) 	 	 {psychological feature}(nselect:0)
{psychological feature}(nselect:0) 	 	 {event}(nselect:0)
{event}(nselect:0) 	 	 {act, deed, human action, human activity}(nselect:0)
{act, deed, human action, human activity}(nselect:0) 	 	 {activity}(nselect:0)
{activity}(nselect:0) 	 	 {diversion, recreation}(nselect:0)
{diversion, recreation}(nselect:0) 	 	 {sport, athletics}(nselect:0)
{sport, athletics}(nselect:0) 	 	 {athletic game}(nselect:0)
{athletic game}(nselect:0) 	 	 {court game}(nselect:0)
{court game}(nselect:0) 	 	 {handball}(nselect:0)
{court game}(nselect:0) 	 	 {racquetball}(nselect:0)
{court game}(nselect:0) 	 	 {fives}(nselect:0)
{court game}(nselect:0) 	 	 {squash, squash racquets, squash rackets}(nselect:0)
{court game}(nselect:0) 	 	 {jai alai, pelota}(nselect:0)
{court game}(nselect:0) 	 	 {badminton}(nselect:0)
{court game}(nselect:0) 	 	 {basketball, basketball game, hoops}(nselect:0)
{court game}(nselect:0) 	 	 {deck tennis}(nselect:0)
{court game}(nselect:0) 	 	 {netball}(nselect:0)
{court game}(nselect:0) 	 	 {tennis, lawn tennis}(nselect:0)
{court game}(nselect:0) 	 	 {pallone}(nselect:0)
{court game}(nselect:0) 	 	 {volleyball, volleyball game}(nselect:8)
{athletic game}(nselect:0) 	 	 {outdoor game}(nselect:0)
{outdoor game}(nselect:0) 	 	 {field game}(nselect:0)
{field game}(nselect:0) 	 	 {football, football game}(nselect:0)
{football, football game}(nselect:0) 	 	 {American football, American football game}(nselect:0)
{football, football game}(nselect:0) 	 	 {professional football}(nselect:0)
{football, football game}(nselect:0) 	 	 {rugby, rugby football, rugger}(nselect:0)
{football, football game}(nselect:0) 	 	 {soccer, association football}(nselect:6)
{sport, athletics}(nselect:0) 	 	 {water sport, aquatics}(nselect:0)
{water sport, aquatics}(nselect:0) 	 	 {surfing, surfboarding, surfriding}(nselect:0)
{water sport, aquatics}(nselect:0) 	 	 {water-skiing}(nselect:0)
{water sport, aquatics}(nselect:0) 	 	 {swimming, swim}(nselect:5)
{swimming, swim}(nselect:5) 	 	 {bathe}(nselect:0)
{swimming, swim}(nselect:5) 	 	 {skinny-dip}(nselect:0)
{swimming, swim}(nselect:5) 	 	 {dip, plunge}(nselect:0)
{swimming, swim}(nselect:5) 	 	 {dive, diving}(nselect:0)
{swimming, swim}(nselect:5) 	 	 {floating, natation}(nselect:0)
{swimming, swim}(nselect:5) 	 	 {skin diving, skin-dive}(nselect:0)
{sport, athletics}(nselect:0) 	 	 {contact sport}(nselect:0)
{contact sport}(nselect:0) 	 	 {football, football game}(nselect:0)
{football, football game}(nselect:0) 	 	 {American football, American football game}(nselect:0)
{football, football game}(nselect:0) 	 	 {professional football}(nselect:0)
{football, football game}(nselect:0) 	 	 {rugby, rugby football, rugger}(nselect:0)
{football, football game}(nselect:0) 	 	 {soccer, association football}(nselect:6)
{activity}(nselect:0) 	 	 {game}(nselect:0)
{game}(nselect:0) 	 	 {athletic game}(nselect:0)
{athletic game}(nselect:0) 	 	 {court game}(nselect:0)
{court game}(nselect:0) 	 	 {handball}(nselect:0)
{court game}(nselect:0) 	 	 {racquetball}(nselect:0)
{court game}(nselect:0) 	 	 {fives}(nselect:0)
{court game}(nselect:0) 	 	 {squash, squash racquets, squash rackets}(nselect:0)
{court game}(nselect:0) 	 	 {jai alai, pelota}(nselect:0)
{court game}(nselect:0) 	 	 {badminton}(nselect:0)
{court game}(nselect:0) 	 	 {basketball, basketball game, hoops}(nselect:0)
{court game}(nselect:0) 	 	 {deck tennis}(nselect:0)
{court game}(nselect:0) 	 	 {netball}(nselect:0)
{court game}(nselect:0) 	 	 {tennis, lawn tennis}(nselect:0)
{court game}(nselect:0) 	 	 {pallone}(nselect:0)
{court game}(nselect:0) 	 	 {volleyball, volleyball game}(nselect:8)
{activity}(nselect:0) 	 	 {variation, variance}(nselect:0)
{activity}(nselect:0) 	 	 {space walk}(nselect:0)
{activity}(nselect:0) 	 	 {domesticity}(nselect:0)
{activity}(nselect:0) 	 	 {operation}(nselect:0)
{activity}(nselect:0) 	 	 {operation}(nselect:0)
{activity}(nselect:0) 	 	 {practice, pattern}(nselect:0)
{activity}(nselect:0) 	 	 {cup of tea, bag, dish}(nselect:0)
{activity}(nselect:0) 	 	 {follow-up, followup}(nselect:0)
{activity}(nselect:0) 	 	 {music}(nselect:0)
{activity}(nselect:0) 	 	 {acting, playing, playacting, performing}(nselect:0)
{activity}(nselect:0) 	 	 {liveliness, animation}(nselect:0)
{activity}(nselect:0) 	 	 {burst, fit}(nselect:0)
{activity}(nselect:0) 	 	 {work}(nselect:0)
{activity}(nselect:0) 	 	 {works, deeds}(nselect:0)
{activity}(nselect:0) 	 	 {service}(nselect:0)
{activity}(nselect:0) 	 	 {occupation, business, job, line of work, line}(nselect:0)
{activity}(nselect:0) 	 	 {occupation}(nselect:0)
{activity}(nselect:0) 	 	 {writing, committal to writing}(nselect:0)
{activity}(nselect:0) 	 	 {role}(nselect:0)
{activity}(nselect:0) 	 	 {wrongdoing, wrongful conduct, misconduct, actus reus}(nselect:0)
{activity}(nselect:0) 	 	 {waste, wastefulness, dissipation}(nselect:0)
{activity}(nselect:0) 	 	 {attempt, effort, endeavor, endeavour, try}(nselect:0)
{activity}(nselect:0) 	 	 {control}(nselect:0)
{activity}(nselect:0) 	 	 {protection}(nselect:0)
{activity}(nselect:0) 	 	 {sensory activity}(nselect:0)
{activity}(nselect:0) 	 	 {education, instruction, teaching, pedagogy, didactics, educational activity}(nselect:0)
{activity}(nselect:0) 	 	 {training, preparation, grooming}(nselect:0)
{activity}(nselect:0) 	 	 {representation}(nselect:0)
{activity}(nselect:0) 	 	 {creation, creative activity}(nselect:0)
{activity}(nselect:0) 	 	 {dismantling, dismantlement, disassembly}(nselect:0)
{activity}(nselect:0) 	 	 {puncture}(nselect:0)
{activity}(nselect:0) 	 	 {search, hunt, hunting}(nselect:0)
{activity}(nselect:0) 	 	 {use, usage, utilization, utilisation, employment, exercise}(nselect:0)
{activity}(nselect:0) 	 	 {operation, military operation}(nselect:0)
{activity}(nselect:0) 	 	 {measurement, measuring, measure, mensuration}(nselect:0)
{activity}(nselect:0) 	 	 {calibration, standardization, standardisation}(nselect:0)
{activity}(nselect:0) 	 	 {organization, organisation}(nselect:0)
{activity}(nselect:0) 	 	 {grouping}(nselect:0)
{activity}(nselect:0) 	 	 {support, supporting}(nselect:0)
{activity}(nselect:0) 	 	 {continuance, continuation}(nselect:0)
{activity}(nselect:0) 	 	 {procedure, process}(nselect:0)
{activity}(nselect:0) 	 	 {ceremony}(nselect:0)
{activity}(nselect:0) 	 	 {ceremony}(nselect:0)
{activity}(nselect:0) 	 	 {worship}(nselect:0)
{activity}(nselect:0) 	 	 {energizing, activating, activation}(nselect:0)
{activity}(nselect:0) 	 	 {concealment, concealing, hiding}(nselect:0)
{activity}(nselect:0) 	 	 {placement, location, locating, position, positioning, emplacement}(nselect:0)
{activity}(nselect:0) 	 	 {provision, supply, supplying}(nselect:0)
{activity}(nselect:0) 	 	 {demand}(nselect:0)
{activity}(nselect:0) 	 	 {pleasure}(nselect:0)
{activity}(nselect:0) 	 	 {enjoyment, delectation}(nselect:0)
{activity}(nselect:0) 	 	 {lamentation, mourning}(nselect:0)
{activity}(nselect:0) 	 	 {laughter}(nselect:0)
{activity}(nselect:0) 	 	 {market, marketplace, market place}(nselect:0)
{activity}(nselect:0) 	 	 {politics}(nselect:0)
{activity}(nselect:0) 	 	 {preparation, readying}(nselect:0)
{activity}(nselect:0) 	 	 {aid, assist, assistance, help}(nselect:0)
{activity}(nselect:0) 	 	 {support}(nselect:0)
{activity}(nselect:0) 	 	 {behavior, behaviour, conduct, doings}(nselect:0)
{activity}(nselect:0) 	 	 {behavior, behaviour}(nselect:0)
{activity}(nselect:0) 	 	 {leadership, leading}(nselect:0)
{activity}(nselect:0) 	 	 {precession, precedence, precedency}(nselect:0)
{activity}(nselect:0) 	 	 {solo}(nselect:0)
{activity}(nselect:0) 	 	 {buzz}(nselect:0)
{activity}(nselect:0) 	 	 {fun}(nselect:0)
{activity}(nselect:0) 	 	 {sin, hell}(nselect:0)
{activity}(nselect:0) 	 	 {release, outlet, vent}(nselect:0)
{activity}(nselect:0) 	 	 {last}(nselect:0)
{activity}(nselect:0) 	 	 {mystification, obfuscation}(nselect:0)
{activity}(nselect:0) 	 	 {negotiation}(nselect:0)
{activity}(nselect:0) 	 	 {verbalization, verbalisation}(nselect:0)
{activity}(nselect:0) 	 	 {perturbation, disturbance}(nselect:0)
{activity}(nselect:0) 	 	 {timekeeping}(nselect:0)
{activity}(nselect:0) 	 	 {turn, play}(nselect:1)
{turn, play}(nselect:1) 	 	 {move}(nselect:0)
{turn, play}(nselect:1) 	 	 {start, starting}(nselect:0)
{turn, play}(nselect:1) 	 	 {innings}(nselect:0)
{turn, play}(nselect:1) 	 	 {attack}(nselect:0)
{turn, play}(nselect:1) 	 	 {down}(nselect:0)
{turn, play}(nselect:1) 	 	 {bat, at-bat}(nselect:0)
{turn, play}(nselect:1) 	 	 {lead}(nselect:0)
{turn, play}(nselect:1) 	 	 {ruff, trumping}(nselect:0)
{turn, play}(nselect:1) 	 	 {trick}(nselect:0)
{act, deed, human action, human activity}(nselect:0) 	 	 {action}(nselect:0)
{action}(nselect:0) 	 	 {accomplishment, achievement}(nselect:0)
{accomplishment, achievement}(nselect:0) 	 	 {attainment}(nselect:0)
{attainment}(nselect:0) 	 	 {success}(nselect:0)
{success}(nselect:0) 	 	 {hit, smash, smasher, strike, bang}(nselect:0)
{success}(nselect:0) 	 	 {bell ringer, bull's eye, mark, home run}(nselect:5)
{success}(nselect:0) 	 	 {conquest}(nselect:0)
{success}(nselect:0) 	 	 {coup}(nselect:0)
{success}(nselect:0) 	 	 {flying colors, flying colours}(nselect:0)
{success}(nselect:0) 	 	 {passing, pass, qualifying}(nselect:0)
{success}(nselect:0) 	 	 {overturn, upset}(nselect:0)
{success}(nselect:0) 	 	 {seduction, conquest}(nselect:0)
{success}(nselect:0) 	 	 {score}(nselect:0)
{score}(nselect:0) 	 	 {bull's eye}(nselect:0)
{score}(nselect:0) 	 	 {strike, ten-strike}(nselect:0)
{score}(nselect:0) 	 	 {spare}(nselect:0)
{score}(nselect:0) 	 	 {open frame, break}(nselect:0)
{score}(nselect:0) 	 	 {safety}(nselect:0)
{score}(nselect:0) 	 	 {touchdown}(nselect:0)
{score}(nselect:0) 	 	 {field goal}(nselect:0)
{score}(nselect:0) 	 	 {conversion}(nselect:0)
{score}(nselect:0) 	 	 {run, tally}(nselect:0)
{score}(nselect:0) 	 	 {basket, field goal}(nselect:0)
{score}(nselect:0) 	 	 {hat trick}(nselect:0)
{score}(nselect:0) 	 	 {break, break of serve}(nselect:0)
{score}(nselect:0) 	 	 {equalizer}(nselect:0)
{score}(nselect:0) 	 	 {goal}(nselect:15)
{goal}(nselect:15) 	 	 {own goal}(nselect:0)
{success}(nselect:0) 	 	 {solution}(nselect:0)
{success}(nselect:0) 	 	 {winning}(nselect:9)
{attainment}(nselect:0) 	 	 {credit, course credit}(nselect:0)
{attainment}(nselect:0) 	 	 {accession, rise to power}(nselect:0)
{attainment}(nselect:0) 	 	 {record}(nselect:17)
{record}(nselect:17) 	 	 {track record}(nselect:0)
{record}(nselect:17) 	 	 {world record}(nselect:0)
{action}(nselect:0) 	 	 {change}(nselect:0)
{change}(nselect:0) 	 	 {movement}(nselect:0)
{movement}(nselect:0) 	 	 {transportation, transport, transfer, transferral, conveyance}(nselect:0)
{transportation, transport, transfer, transferral, conveyance}(nselect:0) 	 	 {delivery, bringing}(nselect:0)
{delivery, bringing}(nselect:0) 	 	 {passage, handing over}(nselect:0)
{passage, handing over}(nselect:0) 	 	 {relay}(nselect:4)
{change}(nselect:0) 	 	 {motion, movement, move, motility}(nselect:0)
{motion, movement, move, motility}(nselect:0) 	 	 {stroke}(nselect:0)
{stroke}(nselect:0) 	 	 {blow}(nselect:0)
{blow}(nselect:0) 	 	 {backhander}(nselect:0)
{blow}(nselect:0) 	 	 {clip}(nselect:0)
{blow}(nselect:0) 	 	 {knock, belt, rap, whack, whang}(nselect:0)
{blow}(nselect:0) 	 	 {thwack}(nselect:0)
{blow}(nselect:0) 	 	 {smack, smacking, slap}(nselect:0)
{blow}(nselect:0) 	 	 {smacker}(nselect:0)
{blow}(nselect:0) 	 	 {knockdown}(nselect:0)
{blow}(nselect:0) 	 	 {knockout, KO, kayo}(nselect:0)
{blow}(nselect:0) 	 	 {swat}(nselect:0)
{blow}(nselect:0) 	 	 {whip, lash, whiplash}(nselect:0)
{blow}(nselect:0) 	 	 {punch, clout, poke, lick, biff, slug}(nselect:0)
{blow}(nselect:0) 	 	 {box}(nselect:0)
{blow}(nselect:0) 	 	 {counterblow}(nselect:0)
{blow}(nselect:0) 	 	 {swing}(nselect:0)
{blow}(nselect:0) 	 	 {stab, thrust, knife thrust}(nselect:0)
{blow}(nselect:0) 	 	 {stinger}(nselect:0)
{blow}(nselect:0) 	 	 {thump}(nselect:0)
{blow}(nselect:0) 	 	 {uppercut}(nselect:0)
{blow}(nselect:0) 	 	 {hammer, pound, hammering, pounding}(nselect:0)
{blow}(nselect:0) 	 	 {shot}(nselect:0)
{blow}(nselect:0) 	 	 {wallop}(nselect:0)
{blow}(nselect:0) 	 	 {kick, boot, kicking}(nselect:5)
{kick, boot, kicking}(nselect:5) 	 	 {goal-kick}(nselect:0)
{kick, boot, kicking}(nselect:5) 	 	 {goal-kick}(nselect:0)
{kick, boot, kicking}(nselect:5) 	 	 {punt, punting}(nselect:0)
{kick, boot, kicking}(nselect:5) 	 	 {place kick, place-kicking}(nselect:0)
{kick, boot, kicking}(nselect:5) 	 	 {dropkick}(nselect:0)
{change}(nselect:0) 	 	 {motion, movement, move}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {approach, approaching, coming}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {progress, progression, procession, advance, advancement, forward motion, onward motion}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {locomotion, travel}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {lurch, lunge}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {travel, traveling, travelling}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {pursuit, chase, pursual, following}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {rise, ascent, ascension, ascending}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {descent}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {swing, swinging, vacillation}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {return}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {slide, glide, coast}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {slippage}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {flow, stream}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {crawl}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {speed, speeding, hurrying}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {translation, displacement}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {shift, shifting}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {haste, hurry, rush, rushing}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {migration}(nselect:0)
{motion, movement, move}(nselect:0) 	 	 {maneuver, manoeuvre, play}(nselect:8)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {takeaway}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {figure}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {completion, pass completion}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {ball hawking}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {assist}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {icing, icing the puck}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {jugglery}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {obstruction}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {baseball play}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {footwork}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {stroke, shot}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {safety blitz, linebacker blitzing, blitz}(nselect:0)
{maneuver, manoeuvre, play}(nselect:8) 	 	 {mousetrap, trap play}(nselect:0)
{act, deed, human action, human activity}(nselect:0) 	 	 {propulsion, actuation}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {launching, launch}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {launching}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {drive, thrust, driving force}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {roll, bowl}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {throw}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {push, pushing}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {pull, pulling}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {lift, raise, heave}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {expulsion, projection, ejection, forcing out}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {jump, jumping}(nselect:0)
{jump, jumping}(nselect:0) 	 	 {header}(nselect:0)
{jump, jumping}(nselect:0) 	 	 {hop}(nselect:0)
{jump, jumping}(nselect:0) 	 	 {leap, leaping, spring, saltation, bound, bounce}(nselect:0)
{jump, jumping}(nselect:0) 	 	 {jumping up and down}(nselect:0)
{jump, jumping}(nselect:0) 	 	 {capriole}(nselect:0)
{jump, jumping}(nselect:0) 	 	 {vault, hurdle}(nselect:8)
{propulsion, actuation}(nselect:0) 	 	 {lob}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {wheeling, rolling}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {shooting, shot}(nselect:0)
{propulsion, actuation}(nselect:0) 	 	 {dribble, dribbling}(nselect:6)
{dribble, dribbling}(nselect:6) 	 	 {double dribble}(nselect:0)
{act, deed, human action, human activity}(nselect:0) 	 	 {group action}(nselect:0)
{group action}(nselect:0) 	 	 {vote}(nselect:0)
{group action}(nselect:0) 	 	 {procession}(nselect:0)
{group action}(nselect:0) 	 	 {military action, action}(nselect:0)
{group action}(nselect:0) 	 	 {conflict, struggle, battle}(nselect:0)
{group action}(nselect:0) 	 	 {revolution}(nselect:0)
{group action}(nselect:0) 	 	 {social activity}(nselect:0)
{group action}(nselect:0) 	 	 {communalism}(nselect:0)
{group action}(nselect:0) 	 	 {confederation, alliance}(nselect:0)
{group action}(nselect:0) 	 	 {decolonization, decolonisation}(nselect:0)
{group action}(nselect:0) 	 	 {disbandment}(nselect:0)
{group action}(nselect:0) 	 	 {disestablishment}(nselect:0)
{group action}(nselect:0) 	 	 {transaction, dealing, dealings}(nselect:0)
{group action}(nselect:0) 	 	 {stampede}(nselect:0)
{group action}(nselect:0) 	 	 {social control}(nselect:0)
{group action}(nselect:0) 	 	 {coup d'etat, coup, putsch, takeover}(nselect:0)
{group action}(nselect:0) 	 	 {internationalization, internationalisation}(nselect:0)
{group action}(nselect:0) 	 	 {nationalization, nationalisation}(nselect:0)
{group action}(nselect:0) 	 	 {exchange, interchange}(nselect:0)
{group action}(nselect:0) 	 	 {rally, exchange}(nselect:0)
