root(nselect:0) 	 	 Verbo(nselect:0)
{organization, organisation}(nselect:0) 	 	 {quango, quasi-NGO}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {enterprise}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {defense, defence, defense force, defence force}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {establishment}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {fire brigade, fire company}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {company, troupe}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {unit, social unit}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {political unit, political entity}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {Holy Roman Empire}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {union}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {Palestine National Authority, Palestinian National Authority, Palestine Authority}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {cell, cadre}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {amphictyony}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {lunatic fringe}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {revolutionary group}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {lobby, pressure group, third house}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {state, nation, country, land, commonwealth, res publica, body politic}(nselect:2)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {commonwealth country}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {developing country}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {Dominion}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {foreign country}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {Reich}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {rogue state, renegade state, rogue nation}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {suzerain}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {sea power}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {world power, major power, great power, power, superpower}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {city state, city-state}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:2) 	 	 {ally}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {Peace Corps}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {force, personnel}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {union, labor union, trade union, trades union, brotherhood}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {musical organization, musical organisation, musical group}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {party, political party}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {machine, political machine}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {machine}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {professional organization, professional organisation}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {alliance, coalition, alignment, alinement}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {federation}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {hierarchy, power structure, pecking order}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {deputation, commission, delegation, delegacy, mission}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {Girl Scouts}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {blue}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {grey, gray}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {host}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {pool}(nselect:0)
{abstraction, abstract entity}(nselect:0) 	 	 {relation}(nselect:0)
{relation}(nselect:0) 	 	 {possession}(nselect:0)
{possession}(nselect:0) 	 	 {assets}(nselect:0)
{assets}(nselect:0) 	 	 {sum, sum of money, amount, amount of money}(nselect:0)
{sum, sum of money, amount, amount of money}(nselect:0) 	 	 {gain}(nselect:0)
{gain}(nselect:0) 	 	 {financial gain}(nselect:0)
{financial gain}(nselect:0) 	 	 {income}(nselect:0)
{income}(nselect:0) 	 	 {disposable income}(nselect:0)
{income}(nselect:0) 	 	 {double dipping}(nselect:0)
{income}(nselect:0) 	 	 {easy money, gravy train}(nselect:0)
{income}(nselect:0) 	 	 {EBITDA, Earnings Before Interest Taxes Depreciation and Amortization}(nselect:0)
{income}(nselect:0) 	 	 {cash flow}(nselect:0)
{income}(nselect:0) 	 	 {personal income}(nselect:0)
{income}(nselect:0) 	 	 {rental income}(nselect:0)
{income}(nselect:0) 	 	 {return, issue, take, takings, proceeds, yield, payoff}(nselect:0)
{income}(nselect:0) 	 	 {gross sales, gross revenue, sales}(nselect:0)
{income}(nselect:0) 	 	 {net sales}(nselect:0)
{income}(nselect:0) 	 	 {unearned income, unearned revenue}(nselect:0)
{income}(nselect:0) 	 	 {unearned income, unearned revenue}(nselect:0)
{income}(nselect:0) 	 	 {government income, government revenue}(nselect:0)
{income}(nselect:0) 	 	 {per capita income}(nselect:0)
{income}(nselect:0) 	 	 {net income, net, net profit, lucre, profit, profits, earnings}(nselect:23)
{net income, net, net profit, lucre, profit, profits, earnings}(nselect:23) 	 	 {earning per share}(nselect:0)
{net income, net, net profit, lucre, profit, profits, earnings}(nselect:23) 	 	 {windfall profit}(nselect:0)
{net income, net, net profit, lucre, profit, profits, earnings}(nselect:23) 	 	 {killing, cleanup}(nselect:0)
{net income, net, net profit, lucre, profit, profits, earnings}(nselect:23) 	 	 {fast buck, quick buck}(nselect:0)
{net income, net, net profit, lucre, profit, profits, earnings}(nselect:23) 	 	 {filthy lucre}(nselect:0)
{net income, net, net profit, lucre, profit, profits, earnings}(nselect:23) 	 	 {gross profit, gross profit margin, margin}(nselect:0)
{net income, net, net profit, lucre, profit, profits, earnings}(nselect:23) 	 	 {markup}(nselect:0)
{net income, net, net profit, lucre, profit, profits, earnings}(nselect:23) 	 	 {accumulation}(nselect:0)
{net income, net, net profit, lucre, profit, profits, earnings}(nselect:23) 	 	 {dividend}(nselect:0)
{assets}(nselect:0) 	 	 {share, portion, part, percentage}(nselect:0)
{assets}(nselect:0) 	 	 {tax base}(nselect:0)
{assets}(nselect:0) 	 	 {receivables}(nselect:0)
{assets}(nselect:0) 	 	 {crown jewel}(nselect:0)
{assets}(nselect:0) 	 	 {deep pocket}(nselect:0)
{assets}(nselect:0) 	 	 {reserve assets}(nselect:0)
{assets}(nselect:0) 	 	 {resource}(nselect:0)
{assets}(nselect:0) 	 	 {intangible, intangible asset}(nselect:0)
{assets}(nselect:0) 	 	 {liquid assets, current assets, quick assets}(nselect:0)
{assets}(nselect:0) 	 	 {investment, investment funds}(nselect:0)
{assets}(nselect:0) 	 	 {equity}(nselect:0)
{assets}(nselect:0) 	 	 {security, protection}(nselect:0)
{assets}(nselect:0) 	 	 {material resource}(nselect:0)
{assets}(nselect:0) 	 	 {capital}(nselect:0)
{assets}(nselect:0) 	 	 {capital, working capital}(nselect:0)
{assets}(nselect:0) 	 	 {funds, finances, monetary resource, cash in hand, pecuniary resource}(nselect:0)
{assets}(nselect:0) 	 	 {hole card}(nselect:0)
{assets}(nselect:0) 	 	 {overage}(nselect:0)
{assets}(nselect:0) 	 	 {accounts receivable}(nselect:0)
{assets}(nselect:0) 	 	 {credit}(nselect:9)
{credit}(nselect:9) 	 	 {cheap money}(nselect:0)
{credit}(nselect:9) 	 	 {export credit}(nselect:0)
{credit}(nselect:9) 	 	 {import credit}(nselect:0)
{credit}(nselect:9) 	 	 {credit line, line of credit, bank line, line, personal credit line, personal line of credit}(nselect:0)
{credit}(nselect:9) 	 	 {commercial credit}(nselect:0)
{credit}(nselect:9) 	 	 {letter of credit}(nselect:0)
{possession}(nselect:0) 	 	 {liabilities}(nselect:0)
{liabilities}(nselect:0) 	 	 {debt}(nselect:0)
{debt}(nselect:0) 	 	 {arrears}(nselect:0)
{debt}(nselect:0) 	 	 {national debt}(nselect:0)
{debt}(nselect:0) 	 	 {public debt}(nselect:0)
{debt}(nselect:0) 	 	 {debt limit, debt ceiling}(nselect:0)
{debt}(nselect:0) 	 	 {bad debt}(nselect:0)
{debt}(nselect:0) 	 	 {installment debt}(nselect:0)
{debt}(nselect:0) 	 	 {principal}(nselect:0)
{debt}(nselect:0) 	 	 {score}(nselect:0)
{debt}(nselect:0) 	 	 {loan}(nselect:3)
{loan}(nselect:3) 	 	 {bank loan}(nselect:0)
{loan}(nselect:3) 	 	 {home loan, home equity credit, home equity loan, equity credit line}(nselect:0)
{loan}(nselect:3) 	 	 {installment credit, installment loan}(nselect:0)
{loan}(nselect:3) 	 	 {call loan, demand loan}(nselect:0)
{loan}(nselect:3) 	 	 {direct loan}(nselect:0)
{loan}(nselect:3) 	 	 {participation loan, loan participation, participation financing}(nselect:0)
{loan}(nselect:3) 	 	 {personal loan, consumer loan}(nselect:0)
{loan}(nselect:3) 	 	 {point}(nselect:0)
{loan}(nselect:3) 	 	 {real estate loan, mortgage loan}(nselect:0)
{loan}(nselect:3) 	 	 {time loan}(nselect:0)
{possession}(nselect:0) 	 	 {transferred property, transferred possession}(nselect:0)
{transferred property, transferred possession}(nselect:0) 	 	 {loss}(nselect:0)
{loss}(nselect:0) 	 	 {financial loss}(nselect:0)
{financial loss}(nselect:0) 	 	 {capital loss}(nselect:0)
{financial loss}(nselect:0) 	 	 {depreciation, wear and tear}(nselect:0)
{financial loss}(nselect:0) 	 	 {losings, losses}(nselect:0)
{financial loss}(nselect:0) 	 	 {nonpayment, default, nonremittal}(nselect:3)
{nonpayment, default, nonremittal}(nselect:3) 	 	 {delinquency}(nselect:0)
{relation}(nselect:0) 	 	 {social relation}(nselect:0)
{relation}(nselect:0) 	 	 {position, spatial relation}(nselect:0)
{relation}(nselect:0) 	 	 {ownership}(nselect:0)
{relation}(nselect:0) 	 	 {causality}(nselect:0)
{relation}(nselect:0) 	 	 {relationship, human relationship}(nselect:0)
{relation}(nselect:0) 	 	 {function}(nselect:0)
{relation}(nselect:0) 	 	 {association}(nselect:0)
{relation}(nselect:0) 	 	 {logical relation}(nselect:0)
{relation}(nselect:0) 	 	 {mathematical relation}(nselect:0)
{relation}(nselect:0) 	 	 {foundation}(nselect:0)
{relation}(nselect:0) 	 	 {connection, connexion, connectedness}(nselect:0)
{relation}(nselect:0) 	 	 {unconnectedness}(nselect:0)
{relation}(nselect:0) 	 	 {linguistic relation}(nselect:0)
{relation}(nselect:0) 	 	 {part, portion, component part, component, constituent}(nselect:0)
{relation}(nselect:0) 	 	 {affinity, kinship}(nselect:0)
{relation}(nselect:0) 	 	 {kinship, family relationship, relationship}(nselect:0)
{relation}(nselect:0) 	 	 {magnitude relation, quantitative relation}(nselect:0)
{relation}(nselect:0) 	 	 {control}(nselect:0)
{relation}(nselect:0) 	 	 {business relation}(nselect:0)
{relation}(nselect:0) 	 	 {reciprocality, reciprocity}(nselect:0)
{relation}(nselect:0) 	 	 {interrelation, interrelationship, interrelatedness}(nselect:0)
{relation}(nselect:0) 	 	 {temporal relation}(nselect:0)
{relation}(nselect:0) 	 	 {opposition, oppositeness}(nselect:0)
{relation}(nselect:0) 	 	 {change}(nselect:0)
{relation}(nselect:0) 	 	 {comparison}(nselect:3)
{comparison}(nselect:3) 	 	 {imaginative comparison}(nselect:0)
{abstraction, abstract entity}(nselect:0) 	 	 {measure, quantity, amount}(nselect:0)
{measure, quantity, amount}(nselect:0) 	 	 {fundamental quantity, fundamental measure}(nselect:0)
{fundamental quantity, fundamental measure}(nselect:0) 	 	 {time period, period of time, period}(nselect:12)
{time period, period of time, period}(nselect:12) 	 	 {trial period, test period}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {time frame}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {hours}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {downtime}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {uptime}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {work time}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {time off}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {bout}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {hospitalization}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {travel time}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {times}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {time}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {elapsed time}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {duration, continuance}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {week, calendar week}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {midweek}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {field day}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {life, lifetime, life-time, lifespan}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {life}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {life}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {millennium, millenary}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {bimillennium, bimillenary}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {occupation}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {past}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {shelf life}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {puerperium}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {lactation}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {time of life}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {calendar day, civil day}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {festival}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {day, daytime, daylight}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {morning, morn, morning time, forenoon}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {night, nighttime, dark}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {night}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {night}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {night}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {eve}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {evening}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {week, hebdomad}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {fortnight, two weeks}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {weekend}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {Indian summer, Saint Martin's summer}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {year}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {school, schooltime, school day}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {year, twelvemonth, yr}(nselect:28)
{year, twelvemonth, yr}(nselect:28) 	 	 {church year, Christian year}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {Holy Year}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {New Year}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {common year, 365 days}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {leap year, intercalary year, 366 days, bissextile year}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {off year}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {off year}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {calendar year, civil year}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {fiscal year, financial year}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {annum}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {year of grace}(nselect:0)
{year, twelvemonth, yr}(nselect:28) 	 	 {Y2K}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {year}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {bimester}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {Olympiad}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {lustrum}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {decade, decennary, decennium}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {century}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {quadrennium}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {quinquennium}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {half-century}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {quarter-century}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {quarter}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {phase of the moon}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {day}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {calendar month, month}(nselect:8)
{calendar month, month}(nselect:8) 	 	 {Gregorian calendar month}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {January, Jan}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {February, Feb}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {March, Mar}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {April, Apr}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {May}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {July}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {August, Aug}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {September, Sep, Sept}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {October, Oct}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {November, Nov}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {December, Dec}(nselect:0)
{Gregorian calendar month}(nselect:0) 	 	 {June}(nselect:7)
{calendar month, month}(nselect:8) 	 	 {date}(nselect:0)
{calendar month, month}(nselect:8) 	 	 {Revolutionary calendar month}(nselect:0)
{calendar month, month}(nselect:8) 	 	 {Jewish calendar month}(nselect:0)
{calendar month, month}(nselect:8) 	 	 {Islamic calendar month}(nselect:0)
{calendar month, month}(nselect:8) 	 	 {Hindu calendar month}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-January}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-February}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-March}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-April}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-May}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-June}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-July}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-August}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-September}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-October}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-November}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {mid-December}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {time limit}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {term}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {trimester}(nselect:9)
{trimester}(nselect:9) 	 	 {first trimester}(nselect:0)
{trimester}(nselect:9) 	 	 {second trimester}(nselect:0)
{trimester}(nselect:9) 	 	 {third trimester}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {hour}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {silly season}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {Golden Age}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {silver age}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {bronze age}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {iron age}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {great year, Platonic year}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {regulation time}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {overtime, extra time}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {season, time of year}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {dog days, canicule, canicular days}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {midwinter}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {season}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {season}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {long time, age, years}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {long run, long haul}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {drought, drouth}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {era, epoch}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {generation}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {prehistory, prehistoric culture}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {reign}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {run}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {youth, early days}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {dawn}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {evening}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {time}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {sleep, nap}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {lease, term of a contract}(nselect:0)
{time period, period of time, period}(nselect:12) 	 	 {half life, half-life}(nselect:0)
